Network,Threads,Solver,|V|,|E|,|T|,Num Nodes,Max Len,runtime,root,Bound,,,,Max,Min
geant,None,Gurobi,22,36,6,unbounded,20,600.0139658,ie1.ie,30,,,,,
geant,None,Gurobi,22,36,6,unbounded,20,4.630237818,fr1.fr,23,,,,,
geant,None,Gurobi,22,36,6,unbounded,20,600.0346351,se1.se,32,,,,,
geant,None,Gurobi,22,36,6,unbounded,20,600.268554,nl1.nl,31,,,,,
geant,None,Gurobi,22,36,6,unbounded,20,600.016655,si1.si,36,,,,,
geant,None,Gurobi,22,36,6,unbounded,20,600.0368922,gr1.gr,30,,,,,
geant,None,Gurobi,22,36,6,unbounded,20,600.0189149,it1.it,31,,,,,
geant,None,Gurobi,22,36,6,unbounded,20,3.137341976,uk1.uk,22,,,,,
geant,None,Gurobi,22,36,6,unbounded,20,600.030818,hu1.hu,33,,,,,
germany,None,Gurobi,50,88,6,unbounded,20,1200.196071,Saarb...,265,,,,,
germany,None,Gurobi,50,88,6,unbounded,20,1200.057008,Magde...,143,,,,,
germany,None,Gurobi,50,88,6,unbounded,20,600.0773878,Stutt...,187,,,,,
germany,None,Gurobi,50,88,6,unbounded,20,1200.03535,Siegen,136,,,,,
germany,None,Gurobi,50,88,6,unbounded,20,1200.087139,Giessen,118,,,,,
germany,None,Gurobi,50,88,6,unbounded,20,600.030319,Schwerin,240,,,,,
germany,None,Gurobi,50,88,6,unbounded,20,600.0259352,Hannover,177,,,,,
germany,None,Gurobi,50,88,6,unbounded,20,1200.064637,Wesel,306,,,,,
germany,None,Gurobi,50,88,6,unbounded,20,600.2787468,Bayreuth,208,,,,,
germany,None,Gurobi,50,88,6,unbounded,20,1200.047122,Kaise...,221,,,,,
germany,None,Gurobi,50,88,6,unbounded,20,1200.009465,Essen,191,,,,,
germany,None,Gurobi,50,88,6,unbounded,20,600.0889709,Darms...,199,,,,,
germany,None,Gurobi,50,88,6,unbounded,20,600.0405622,Freiburg,537,,,,,
germany,None,Gurobi,50,88,6,unbounded,20,1200.023708,Nuern...,194,,,,,
germany,None,Gurobi,50,88,6,unbounded,20,1200.018908,Wuerz...,126,,,,,
germany,None,Gurobi,50,88,6,unbounded,20,600.0234311,Muenster,183,,,,,
germany,None,Gurobi,50,88,6,unbounded,20,1200.077928,Ulm,321,,,,,
germany,None,Gurobi,50,88,6,unbounded,20,1200.051772,Bremen,312,,,,,
germany,None,Gurobi,50,88,6,unbounded,20,1200.054466,Dortmund,126,,,,,
germany,None,Gurobi,50,88,6,unbounded,20,600.0446939,Hamburg,182,,,,,
germany,None,Gurobi,50,88,6,unbounded,20,1200.06614,Chemnitz,144,,,,,
germany,None,Gurobi,50,88,6,unbounded,20,600.0501778,Biele...,187,,,,,
germany,None,Gurobi,50,88,6,unbounded,20,1200.01836,Koeln,234,,,,,
germany,None,Gurobi,50,88,6,unbounded,20,600.0284271,Duess...,308,,,,,
germany,None,Gurobi,50,88,6,unbounded,20,600.0646269,Fulda,104,,,,,
germany,None,Gurobi,50,88,6,unbounded,20,600.02671,Flens...,573,,,,,
germany,None,Gurobi,50,88,6,unbounded,20,600.0240829,Konstanz,320,,,,,
germany,None,Gurobi,50,88,6,unbounded,20,1200.069041,Leipzig,141,,,,,
germany,None,Gurobi,50,88,6,unbounded,20,600.0156999,Mannheim,327,,,,,
germany,None,Gurobi,50,88,6,unbounded,20,600.065589,Berlin,173,,,,,
germany,None,Gurobi,50,88,6,unbounded,20,600.015975,Augsburg,199,,,,,
germany,None,Gurobi,50,88,6,unbounded,20,600.0954781,Dresden,141,,,,,
