,Tree Type,Threads,Solver,|V|,|E|,|T|,Num Nodes,Max Len,runtime,root,Bound,Network,Max degree,Min degree,Avg degree,Density
71,symmetric,None,Gurobi,50,88,6,unbounded,20,1200.0299232006073,Hannover,177,germany,5,2,3.52,0.07183673469387755
72,symmetric,None,Gurobi,50,88,6,unbounded,20,1200.186058998108,Passau,574,germany,5,2,3.52,0.07183673469387755
73,symmetric,None,Gurobi,50,88,6,unbounded,20,1200.0501008033752,Koblenz,146,germany,5,2,3.52,0.07183673469387755
74,symmetric,None,Gurobi,50,88,6,unbounded,20,1200.0644960403442,Augsburg,188,germany,5,2,3.52,0.07183673469387755
75,symmetric,None,Gurobi,50,88,6,unbounded,20,1200.1029109954834,Darms...,199,germany,5,2,3.52,0.07183673469387755
76,symmetric,None,Gurobi,50,88,6,unbounded,20,1200.0350739955902,Berlin,179,germany,5,2,3.52,0.07183673469387755
77,symmetric,None,Gurobi,50,88,6,unbounded,20,1200.060301065445,Braun...,116,germany,5,2,3.52,0.07183673469387755
78,symmetric,None,Gurobi,50,88,6,unbounded,20,1200.034430027008,Freiburg,540,germany,5,2,3.52,0.07183673469387755
79,symmetric,None,Gurobi,50,88,6,unbounded,20,1200.435646057129,Flens...,573,germany,5,2,3.52,0.07183673469387755
80,symmetric,None,Gurobi,50,88,6,unbounded,20,1200.026808977127,Muenchen,321,germany,5,2,3.52,0.07183673469387755
81,symmetric,None,Gurobi,50,88,6,unbounded,20,1200.0206890106201,Stutt...,191,germany,5,2,3.52,0.07183673469387755
82,symmetric,None,Gurobi,50,88,6,unbounded,20,1200.0200419425964,Greif...,250,germany,5,2,3.52,0.07183673469387755
83,symmetric,None,Gurobi,50,88,6,unbounded,20,1200.0202360153198,Muenster,183,germany,5,2,3.52,0.07183673469387755
84,symmetric,None,Gurobi,50,88,6,unbounded,20,1200.0315730571747,Hamburg,180,germany,5,2,3.52,0.07183673469387755
85,symmetric,None,Gurobi,50,88,6,unbounded,20,1200.0401890277863,Frank...,135,germany,5,2,3.52,0.07183673469387755
86,symmetric,None,Gurobi,50,88,6,unbounded,20,1200.016006231308,Bayreuth,206,germany,5,2,3.52,0.07183673469387755
87,symmetric,None,Gurobi,50,88,6,unbounded,20,1200.0124208927155,Biele...,176,germany,5,2,3.52,0.07183673469387755
88,symmetric,None,Gurobi,50,88,6,unbounded,20,1200.0386109352112,Duess...,307,germany,5,2,3.52,0.07183673469387755
89,symmetric,None,Gurobi,37,57,6,unbounded,20,1200.0239989757538,Zurich,85,cost226,5,2,3.081081081081081,0.08558558558558559
90,symmetric,None,Gurobi,37,57,6,unbounded,20,1200.0122079849243,Barce...,171,cost226,5,2,3.081081081081081,0.08558558558558559
91,symmetric,None,Gurobi,37,57,6,unbounded,20,1200.0294938087463,Warsaw,115,cost226,5,2,3.081081081081081,0.08558558558558559
92,symmetric,None,Gurobi,37,57,6,unbounded,20,1200.0145230293274,Helsinki,188,cost226,5,2,3.081081081081081,0.08558558558558559
93,symmetric,None,Gurobi,37,57,6,unbounded,20,1200.0285968780518,Glasgow,186,cost226,5,2,3.081081081081081,0.08558558558558559
94,symmetric,None,Gurobi,37,57,6,unbounded,20,1200.0160539150238,Munich,74,cost226,5,2,3.081081081081081,0.08558558558558559
95,symmetric,None,Gurobi,37,57,6,unbounded,20,1200.0153391361237,Copen...,116,cost226,5,2,3.081081081081081,0.08558558558558559
96,symmetric,None,Gurobi,37,57,6,unbounded,20,1200.0162990093231,Amste...,114,cost226,5,2,3.081081081081081,0.08558558558558559
97,symmetric,None,Gurobi,37,57,6,unbounded,20,1200.0153789520264,Madrid,181,cost226,5,2,3.081081081081081,0.08558558558558559
98,symmetric,None,Gurobi,37,57,6,unbounded,20,1200.0170068740845,Prague,89,cost226,5,2,3.081081081081081,0.08558558558558559
99,symmetric,None,Gurobi,37,57,6,unbounded,20,1200.0704250335693,Paris,124,cost226,5,2,3.081081081081081,0.08558558558558559
100,symmetric,None,Gurobi,37,57,6,unbounded,20,1200.0148148536682,Athens,191,cost226,5,2,3.081081081081081,0.08558558558558559
101,symmetric,None,Gurobi,37,57,6,unbounded,20,1200.0126240253448,Dusse...,117,cost226,5,2,3.081081081081081,0.08558558558558559
102,symmetric,None,Gurobi,37,57,6,unbounded,20,1200.0267260074615,Zagreb,108,cost226,5,2,3.081081081081081,0.08558558558558559
103,symmetric,None,Gurobi,37,57,6,unbounded,20,1200.0728809833527,Birmi...,275,cost226,5,2,3.081081081081081,0.08558558558558559
104,symmetric,None,Gurobi,37,57,6,unbounded,20,1200.05242395401,Budapest,119,cost226,5,2,3.081081081081081,0.08558558558558559
105,symmetric,None,Gurobi,37,57,6,unbounded,20,1200.014899969101,London,149,cost226,5,2,3.081081081081081,0.08558558558558559
106,symmetric,None,Gurobi,37,57,6,unbounded,20,1200.141126871109,Rome,91,cost226,5,2,3.081081081081081,0.08558558558558559
107,symmetric,None,Gurobi,37,57,6,unbounded,20,1200.106145143509,Lyon,108,cost226,5,2,3.081081081081081,0.08558558558558559
108,symmetric,None,Gurobi,37,57,6,unbounded,20,1200.0477540493011,Brussels,145,cost226,5,2,3.081081081081081,0.08558558558558559
109,symmetric,None,Gurobi,37,57,6,unbounded,20,1200.0478420257568,Belgrade,151,cost226,5,2,3.081081081081081,0.08558558558558559
110,symmetric,None,Gurobi,37,57,6,unbounded,20,1200.009430885315,Sofia,275,cost226,5,2,3.081081081081081,0.08558558558558559
111,symmetric,None,Gurobi,37,57,6,unbounded,20,1200.0395910739899,Seville,182,cost226,5,2,3.081081081081081,0.08558558558558559
112,symmetric,None,Gurobi,37,57,6,unbounded,20,1200.0346040725708,Stock...,194,cost226,5,2,3.081081081081081,0.08558558558558559
113,symmetric,None,Gurobi,37,57,6,unbounded,20,1200.19895195961,Bordeaux,154,cost226,5,2,3.081081081081081,0.08558558558558559
114,symmetric,None,Gurobi,37,57,6,unbounded,20,1200.0503098964691,Dublin,270,cost226,5,2,3.081081081081081,0.08558558558558559
115,symmetric,None,Gurobi,37,57,6,unbounded,20,1200.0193898677826,Palermo,153,cost226,5,2,3.081081081081081,0.08558558558558559
116,symmetric,None,Gurobi,37,57,6,unbounded,20,1200.0123600959778,Milan,77,cost226,5,2,3.081081081081081,0.08558558558558559
117,symmetric,None,Gurobi,37,57,6,unbounded,20,1200.024759054184,Lisbon,181,cost226,5,2,3.081081081081081,0.08558558558558559
118,symmetric,None,Gurobi,37,57,6,unbounded,20,1200.0601480007172,Berlin,75,cost226,5,2,3.081081081081081,0.08558558558558559
119,symmetric,None,Gurobi,37,57,6,unbounded,20,1200.0262010097504,Vienna,98,cost226,5,2,3.081081081081081,0.08558558558558559
120,symmetric,None,Gurobi,37,57,6,unbounded,20,1200.011424779892,Oslo,189,cost226,5,2,3.081081081081081,0.08558558558558559
121,symmetric,None,Gurobi,37,57,6,unbounded,20,1200.0265719890594,Stras...,97,cost226,5,2,3.081081081081081,0.08558558558558559
122,symmetric,None,Gurobi,37,57,6,unbounded,20,1200.0128679275513,Krakow,151,cost226,5,2,3.081081081081081,0.08558558558558559
123,symmetric,None,Gurobi,37,57,6,unbounded,20,1200.0257451534271,Marse...,109,cost226,5,2,3.081081081081081,0.08558558558558559
124,symmetric,None,Gurobi,37,57,6,unbounded,20,1200.0275449752808,Hamburg,87,cost226,5,2,3.081081081081081,0.08558558558558559
125,symmetric,None,Gurobi,37,57,6,unbounded,20,1200.0263769626617,Frank...,80,cost226,5,2,3.081081081081081,0.08558558558558559
